file,instance,num_jobs,num_machines,time_limit,result_status,result_objective,result_runtime,upper_bound,lower_bound,relax_status,relax_objective,relax_runtime
./data/jobshop_tai20_15.txt,7,20,15,2700,1,2028.0,2700.460956096649,1413,1315,1,868.0,0.10866546630859375
./data/jobshop_tai20_15.txt,8,20,15,2700,1,1710.0,2700.7179975509644,1352,1202,1,860.0,0.10918521881103516
./data/jobshop_tai20_15.txt,9,20,15,2700,1,1780.0,2700.7492759227753,1362,1213,1,832.0,0.10515213012695312
./data/jobshop_tai20_20.txt,0,20,20,2700,1,2041.0,2701.3985562324524,1663,1217,1,1118.0,0.15517902374267578
./data/jobshop_tai20_20.txt,1,20,20,2700,1,2104.0,2700.607923746109,1626,1314,1,1174.0,0.14629769325256348
./data/jobshop_tai20_20.txt,2,20,20,2700,1,2087.0,2701.504649877548,1574,1248,1,1089.0,0.1407005786895752
./data/jobshop_tai20_20.txt,3,20,20,2700,1,2558.0,2700.652040243149,1660,1284,1,1118.0,0.1431736946105957
./data/jobshop_tai20_20.txt,4,20,20,2700,1,2752.0,2700.726660490036,1598,1256,1,1141.0,0.1547393798828125
./data/jobshop_tai20_20.txt,5,20,20,2700,1,2151.0,2700.714445590973,1657,1245,1,1145.0,0.1539628505706787
./data/jobshop_tai20_20.txt,6,20,20,2700,1,2377.0,2701.039661169052,1704,1403,1,1239.0,0.17128753662109375
./data/jobshop_tai20_20.txt,7,20,20,2700,1,2475.0,2700.9145748615265,1626,1387,1,1185.0,0.16194415092468262
./data/jobshop_tai20_20.txt,8,20,20,2700,1,2342.0,2700.9747216701508,1629,1352,1,1179.0,0.14390802383422852
./data/jobshop_tai20_20.txt,9,20,20,2700,1,2374.0,2701.0169546604156,1614,1277,1,1203.0,0.14867258071899414
./data/jobshop_tai30_15.txt,0,30,15,2700,1,4101.0,2701.5870287418365,1770,1764,1,898.0,0.3077104091644287
./data/jobshop_tai30_15.txt,1,30,15,2700,1,3530.0,2701.35945892334,1841,1774,1,904.0,0.29610300064086914
./data/jobshop_tai30_15.txt,2,30,15,2700,1,3398.0,2701.4453554153442,1832,1733,1,975.0,0.30362415313720703
./data/jobshop_tai30_15.txt,3,30,15,2700,1,3975.0,2701.343875169754,1851,1828,1,910.0,0.3386361598968506
./data/jobshop_tai30_15.txt,4,30,15,2700,1,3502.0,2701.5966849327087,2007,1754,1,907.0,0.2692537307739258
./data/jobshop_tai30_15.txt,5,30,15,2700,1,4271.0,2701.813709974289,1844,1777,1,907.0,0.302567720413208
./data/jobshop_tai30_15.txt,6,30,15,2700,1,4031.0,2701.386223077774,1815,1771,1,968.0,0.30090951919555664
./data/jobshop_tai30_15.txt,7,30,15,2700,1,3856.0,2701.2209346294403,1700,1673,1,876.0,0.3287515640258789
./data/jobshop_tai30_15.txt,8,30,15,2700,1,3646.0,2701.524567127228,1811,1764,1,882.0,0.30239176750183105
./data/jobshop_tai30_15.txt,9,30,15,2700,1,3758.0,2701.290600538254,1720,1608,1,887.0,0.4262998104095459
./data/openshop_tai7_7.txt,0,7,7,2700,1,352.0,2704.3161923885345,438,435,1,0.0,0.013185977935791016
./data/openshop_tai7_7.txt,1,7,7,2700,1,429.0,2704.1526589393616,449,443,1,0.0,0.01305079460144043
./data/openshop_tai7_7.txt,2,7,7,2700,1,452.0,2704.788512945175,479,468,1,0.0,0.013083457946777344
./data/openshop_tai7_7.txt,3,7,7,2700,1,434.0,2704.2516679763794,467,463,1,0.0,0.013213396072387695
./data/openshop_tai7_7.txt,4,7,7,2700,1,354.0,2704.162293434143,419,416,1,0.0,0.012927770614624023
./data/openshop_tai7_7.txt,5,7,7,2700,1,434.0,2704.7145359516144,460,451,1,0.0,0.013157129287719727
./data/openshop_tai7_7.txt,6,7,7,2700,1,395.0,2704.2217214107513,435,422,1,0.0,0.01361846923828125
./data/openshop_tai7_7.txt,7,7,7,2700,1,461.0,2704.1029348373413,426,424,1,0.0,0.01359248161315918
./data/openshop_tai7_7.txt,8,7,7,2700,1,399.0,2703.6815116405487,460,458,1,0.0,0.012995719909667969
./data/openshop_tai7_7.txt,9,7,7,2700,1,449.0,2703.9221272468567,400,398,1,0.0,0.017357349395751953
./data/openshop_tai5_5.txt,0,5,5,2700,1,243.0,11.354613542556763,300,295,1,0.0,0.007612943649291992
./data/openshop_tai5_5.txt,1,5,5,2700,1,193.0,15.56178092956543,262,255,1,0.0,0.009671926498413086
./data/openshop_tai5_5.txt,2,5,5,2700,1,261.0,21.212737560272217,328,321,1,0.0,0.007754802703857422
./data/openshop_tai5_5.txt,3,5,5,2700,1,236.0,16.426607847213745,310,306,1,0.0,0.00754237174987793
./data/openshop_tai5_5.txt,4,5,5,2700,1,275.0,253.01260471343994,329,321,1,0.0,0.01127481460571289
./data/openshop_tai5_5.txt,5,5,5,2700,1,234.0,25.814497709274292,312,307,1,0.0,0.0076444149017333984
./data/openshop_tai5_5.txt,6,5,5,2700,1,273.0,45.24411082267761,305,298,1,0.0,0.010652303695678711
./data/openshop_tai5_5.txt,7,5,5,2700,1,255.0,13.632705926895142,300,292,1,0.0,0.007837533950805664
./data/openshop_tai5_5.txt,8,5,5,2700,1,270.0,44.92269515991211,353,349,1,0.0,0.007915258407592773
./data/openshop_tai5_5.txt,9,5,5,2700,1,310.0,22.97242259979248,326,321,1,0.0,0.009881734848022461
./data/openshop_tai10_10.txt,0,10,10,2700,1,799.0,2702.0410017967224,652,637,1,0.0,0.03734707832336426
./data/openshop_tai10_10.txt,1,10,10,2700,1,779.0,2702.564817428589,596,588,1,0.0,0.035363197326660156
./data/openshop_tai10_10.txt,2,10,10,2700,1,677.0,2702.4527480602264,617,598,1,0.0,0.035787105560302734
./data/openshop_tai10_10.txt,3,10,10,2700,1,671.0,2702.004738807678,581,577,1,0.0,0.0345158576965332
./data/openshop_tai10_10.txt,4,10,10,2700,1,688.0,2702.1338760852814,657,640,1,0.0,0.03450655937194824
./data/openshop_tai10_10.txt,5,10,10,2700,1,613.0,2702.091190099716,545,538,1,0.0,0.03409290313720703
./data/openshop_tai10_10.txt,6,10,10,2700,1,676.0,2701.9248445034027,623,616,1,0.0,0.03471779823303223
./data/openshop_tai10_10.txt,7,10,10,2700,1,694.0,2702.324540376663,606,595,1,0.0,0.034662723541259766
./data/openshop_tai10_10.txt,8,10,10,2700,1,659.0,2702.098240852356,606,595,1,0.0,0.03470659255981445
./data/openshop_tai10_10.txt,9,10,10,2700,1,653.0,2702.139296770096,604,596,1,0.0,0.03345346450805664
./data/openshop_tai4_4.txt,0,4,4,2700,1,117.0,0.15147924423217773,193,186,1,0.0,0.006006717681884766
./data/openshop_tai4_4.txt,1,4,4,2700,1,190.0,0.3815188407897949,236,229,1,0.0,0.006048679351806641
./data/openshop_tai4_4.txt,2,4,4,2700,1,182.0,0.7272562980651855,271,262,1,0.0,0.006091117858886719
./data/openshop_tai4_4.txt,3,4,4,2700,1,170.0,0.9260373115539551,250,245,1,0.0,0.006058931350708008
./data/openshop_tai4_4.txt,4,4,4,2700,1,218.0,0.4702281951904297,295,287,1,0.0,0.006104946136474609
./data/openshop_tai4_4.txt,5,4,4,2700,1,164.0,0.4186277389526367,189,185,1,0.0,0.0059146881103515625
./data/openshop_tai4_4.txt,6,4,4,2700,1,135.0,0.4660310745239258,201,197,1,0.0,0.0060231685638427734
./data/openshop_tai4_4.txt,7,4,4,2700,1,194.0,0.6657660007476807,217,212,1,0.0,0.006205081939697266
./data/openshop_tai4_4.txt,8,4,4,2700,1,194.0,0.6015238761901855,261,258,1,0.0,0.006792545318603516
./data/openshop_tai4_4.txt,9,4,4,2700,1,143.0,0.40059804916381836,217,213,1,0.0,0.0060579776763916016
./data/openshop_tai15_15.txt,0,15,15,2700,1,1878.0,2702.0506267547607,956,937,1,0.0,0.11162185668945312
./data/openshop_tai15_15.txt,1,15,15,2700,1,1543.0,2701.4374101161957,957,918,1,0.0,0.11164426803588867
./data/openshop_tai15_15.txt,2,15,15,2700,1,1683.0,2701.579426765442,899,871,1,0.0,0.11333298683166504
./data/openshop_tai15_15.txt,3,15,15,2700,1,1918.0,2701.329668521881,946,934,1,0.0,0.11422944068908691
./data/openshop_tai15_15.txt,4,15,15,2700,1,1789.0,2701.330798625946,992,946,1,0.0,0.11307215690612793
./data/openshop_tai15_15.txt,5,15,15,2700,1,1801.0,2701.8103444576263,959,933,1,0.0,0.11211729049682617
./data/openshop_tai15_15.txt,6,15,15,2700,1,1773.0,2701.9621098041534,931,891,1,0.0,0.11068296432495117
./data/openshop_tai15_15.txt,7,15,15,2700,1,1494.0,2701.1071915626526,916,893,1,0.0,0.1114962100982666
./data/openshop_tai15_15.txt,8,15,15,2700,1,1676.0,2701.2613472938538,951,899,1,0.0,0.11665606498718262
./data/openshop_tai15_15.txt,9,15,15,2700,1,1854.0,2701.6517510414124,935,902,1,0.0,0.11238646507263184
