file,instance,num_jobs,num_machines,solver,time_limit,result_status,result_objective,result_runtime,upper_bound,lower_bound,relax_status,relax_objective,relax_runtime
./data/flowshop_tai20_10.txt,1,20,10,cbc,2700,1,1780,2700.63669133186,1659,1479,1,666,0.174448251724243
./data/flowshop_tai20_10.txt,2,20,10,cbc,2700,1,1687,2700.52230858803,1496,1407,1,635,0.153302907943726
./data/flowshop_tai20_10.txt,3,20,10,cbc,2700,1,1547,2700.66200757027,1378,1308,1,586,0.156275272369385
./data/flowshop_tai20_10.txt,4,20,10,cbc,2700,1,1535,2700.60026264191,1419,1325,1,610,0.17719292640686
./data/flowshop_tai20_10.txt,5,20,10,cbc,2700,1,1525,2700.70244383812,1397,1290,1,582,0.174662590026855
./data/flowshop_tai20_10.txt,6,20,10,cbc,2700,1,1739,2700.50763893127,1484,1388,1,671,0.17438006401062
./data/flowshop_tai20_10.txt,7,20,10,cbc,2700,1,1734,2700.52907204628,1538,1363,1,692,0.185108423233032
./data/flowshop_tai20_10.txt,8,20,10,cbc,2700,1,1735,2700.57292962074,1593,1472,1,702,0.195352077484131
./data/flowshop_tai20_10.txt,9,20,10,cbc,2700,1,1731,2700.64894962311,1591,1356,1,707,0.175394773483276
./data/flowshop_tai20_5.txt,0,20,5,cbc,2700,1,1338,2700.42174553871,1278,1232,1,353,0.109182119369507
./data/flowshop_tai20_5.txt,1,20,5,cbc,2700,1,1407,2700.40365219116,1359,1290,1,348,0.0979843139648438
./data/flowshop_tai20_5.txt,2,20,5,cbc,2700,1,1148,2700.47755169868,1081,1073,1,360,0.109710931777954
./data/flowshop_tai20_5.txt,3,20,5,cbc,2700,1,1387,2700.44769287109,1293,1268,1,384,0.0798506736755371
./data/flowshop_tai20_5.txt,4,20,5,cbc,2700,1,1318,2700.43498325348,1236,1198,1,366,0.109159469604492
./data/flowshop_tai20_5.txt,5,20,5,cbc,2700,1,1224,2700.42870330811,1195,1180,1,352,0.112768650054932
./data/flowshop_tai20_5.txt,6,20,5,cbc,2700,1,1278,2700.42131733894,1239,1226,1,430,0.0862977504730225
./data/flowshop_tai20_5.txt,7,20,5,cbc,2700,1,1246,2700.4589908123,1206,1170,1,383,0.108427047729492
./data/flowshop_tai20_5.txt,8,20,5,cbc,2700,1,1285,2700.44241333008,1230,1206,1,344,0.0794739723205566
./data/flowshop_tai20_5.txt,9,20,5,cbc,2700,1,1174,2700.46676492691,1108,1082,1,332,0.0972087383270264
./data/flowshop_tai50_10.txt,0,50,10,cbc,2700,1,3764,2707.76386022568,3025,2907,1,666,1.02717566490173
./data/flowshop_tai50_10.txt,1,50,10,cbc,2700,1,3716,2707.82598853111,2892,2821,1,667,1.04773831367493
./data/flowshop_tai50_10.txt,2,50,10,cbc,2700,1,3707,2706.71249079704,2864,2801,1,711,1.06711363792419
./data/flowshop_tai50_10.txt,3,50,10,cbc,2700,1,3607,2706.91045951843,3064,2968,1,816,1.05258393287659
./data/flowshop_tai50_10.txt,4,50,10,cbc,2700,1,3900,2706.91160702705,2986,2908,1,677,1.02912735939026
./data/flowshop_tai50_10.txt,5,50,10,cbc,2700,1,3674,2709.60567975044,3006,2941,1,688,1.03885340690613
./data/flowshop_tai50_10.txt,6,50,10,cbc,2700,1,3835,2709.04912900925,3107,3062,1,743,1.03233623504639
./data/flowshop_tai50_10.txt,7,50,10,cbc,2700,1,3710,2736.45074033737,3039,2959,1,685,1.04041266441345
